Description,M,J,Q,Augmentation,acc on,acc off,acc total,f1 macro,f1 micro,pc on,pc off,pc all
VARIA_P_100_M1_J10_Q10_augmentation',1,10,10,1,0.8869,0.8938,0.9324,0.9282,0.9223,0.8649,0.8391,0.8515
VARIA_P_100_M1_J10_Q10',1,10,10,0,0.9676,0.9169,0.9578,0.9563,0.9518,0.9329,0.8844,0.9084
VARIA_P_100_M1_J10_Q12',1,10,12,0,0.9807,0.9541,0.9866,0.9703,0.9655,0.9257,0.8255,0.8751
VARIA_P_100_M1_J10_Q14',1,10,14,0,0.9799,0.9321,0.9725,0.9638,0.9656,0.9329,0.8679,0.9001
VARIA_P_100_M1_J10_Q4,1,10,4,0,0.9799,0.9527,0.9853,0.9672,0.9660,0.9329,0.9222,0.9275
VARIA_P_100_M1_J10_Q6,1,10,6,0,0.9681,0.9060,0.9498,0.9550,0.9642,0.8825,0.8703,0.8763
VARIA_P_100_M1_J10_Q8,1,10,8,0,0.9732,0.9503,0.9807,0.9741,0.9718,0.8993,0.8750,0.8870
VARIA_P_100_M1_J10_Q8_augmentation',1,10,8,1,0.9053,0.9252,0.9551,0.9418,0.9340,0.8550,0.8713,0.8634
VARIA_P_100_M1_J12_Q10_augmentation',1,12,10,1,0.8639,0.8957,0.9084,0.9105,0.9028,0.5995,0.5310,0.5641
VARIA_P_100_M1_J12_Q10',1,12,10,0,0.9089,0.9013,0.9277,0.9303,0.9476,0.6355,0.6014,0.6183
VARIA_P_100_M1_J12_Q12_augmentation',1,12,12,1,0.8839,0.8622,0.9147,0.9195,0.9156,0.6634,0.5586,0.6093
VARIA_P_100_M1_J12_Q12',1,12,12,0,0.9350,0.8969,0.9317,0.9263,0.9325,0.7050,0.6439,0.6742
VARIA_P_100_M1_J12_Q14_augmentation',1,12,14,1,0.8611,0.8835,0.9326,0.9207,0.9192,0.6290,0.5586,0.5926
VARIA_P_100_M1_J12_Q14',1,12,14,0,0.9579,0.8846,0.9351,0.9397,0.9552,0.6882,0.6486,0.6683
VARIA_P_100_M1_J12_Q4',1,12,4,0,0.9304,0.9042,0.9362,0.9434,0.9271,0.6571,0.7146,0.6861
VARIA_P_100_M1_J12_Q6',1,12,6,0,0.9419,0.9193,0.9502,0.9415,0.9380,0.6523,0.7123,0.6825
VARIA_P_100_M1_J12_Q8',1,12,8,0,0.9428,0.8599,0.9135,0.9092,0.9283,0.6906,0.7028,0.6968
VARIA_P_100_M2_J10_Q10_augmentation',2,10,10,1,0.8950,0.9225,0.9513,0.9334,0.9167,0.8182,0.8897,0.8551
VARIA_P_100_M2_J10_Q10',2,10,10,0,0.9691,0.9460,0.9771,0.9707,0.9589,0.8585,0.8608,0.8597
VARIA_P_100_M2_J10_Q12_augmentation',2,10,12,1,0.9390,0.9137,0.9577,0.9578,0.9472,0.7617,0.8782,0.8219
VARIA_P_100_M2_J10_Q12',2,10,12,0,0.9695,0.9448,0.9767,0.9554,0.9604,0.9089,0.8703,0.8894
VARIA_P_100_M2_J10_Q14_augmentation',2,10,14,1,0.9193,0.9484,0.9716,0.9604,0.9534,0.7469,0.8092,0.7791
VARIA_P_100_M2_J10_Q14',2,10,14,0,0.9733,0.9558,0.9844,0.9718,0.9652,0.8585,0.8608,0.8597
VARIA_P_100_M2_J10_Q4_augmentation',2,10,4,1,0.8879,0.9386,0.9503,0.9373,0.9272,0.7715,0.8552,0.8147
VARIA_P_100_M2_J10_Q4',2,10,4,0,0.9657,0.9055,0.9487,0.9499,0.9595,0.9568,0.9410,0.9489
VARIA_P_100_M2_J10_Q6_augmentation',2,10,6,1,0.8835,0.9179,0.9399,0.9381,0.9310,0.8649,0.8782,0.8717
